"customer","product","the_avg","other_prod_avg","other_cust_avg"
"Helen","Cookies","1779.4000000000000000","2325.4672897196261682","2588.0238095238095238"
"Emily","Milk","2663.3750000000000000","2498.4835164835164835","2106.3095238095238095"
"Bloom","Bread","2111.9166666666666667","2506.5714285714285714","2214.4615384615384615"
"Sam","Cookies","1747.0000000000000000","2437.8823529411764706","2634.1250000000000000"
"Helen","Eggs","2135.1250000000000000","2313.8557692307692308","2560.7560975609756098"
"Helen","Butter","1908.7727272727272727","2396.9888888888888889","2271.5384615384615385"
"Emily","Pepsi","3254.5714285714285714","2455.2934782608695652","2622.3829787234042553"
"Emily","Soap","2411.2500000000000000","2520.6483516483516484","2199.6756756756756757"
"Emily","Butter","2316.8888888888888889","2531.3000000000000000","2056.4358974358974359"
"Sam","Fruits","3387.9000000000000000","2263.0487804878048780","2254.7547169811320755"
"Sam","Butter","2701.5000000000000000","2355.2023809523809524","1986.0250000000000000"
"Knuth","Pepsi","2646.2307692307692308","2251.7954545454545455","2722.7560975609756098"
"Bloom","Pepsi","1923.7500000000000000","2505.7386363636363636","2840.0869565217391304"
"Bloom","Cookies","3069.1111111111111111","2393.9425287356321839","2367.6842105263157895"
"Bloom","Soap","2377.3333333333333333","2462.5666666666666667","2215.7435897435897436"
"Knuth","Fruits","1847.9285714285714286","2375.7241379310344828","2602.2448979591836735"
"Helen","Milk","2103.2500000000000000","2324.8300000000000000","2224.5526315789473684"
"Sam","Pepsi","2988.3076923076923077","2286.0886075949367089","2614.2926829268292683"
"Bloom","Milk","2764.6923076923076923","2409.0843373493975904","1995.4324324324324324"
"Knuth","Soap","1856.0000000000000000","2357.1444444444444444","2360.6470588235294118"
"Knuth","Milk","924.0000000000000000","2359.4123711340206186","2306.0000000000000000"
"Emily","Bread","1534.3000000000000000","2621.6404494382022472","2350.3414634146341463"
"Knuth","Coke","2726.8461538461538462","2239.8863636363636364","2456.5263157894736842"
"Knuth","Cookies","2608.1000000000000000","2268.9890109890109890","2473.3243243243243243"
"Helen","Soap","2499.2222222222222222","2283.7766990291262136","2171.8055555555555556"
"Emily","Yogurt","2358.5714285714285714","2523.4673913043478261","2477.0285714285714286"
"Emily","Fruits","2696.8461538461538462","2483.8372093023255814","2366.4400000000000000"
"Helen","Yogurt","2655.0000000000000000","2266.3921568627450980","2395.5000000000000000"
"Emily","Cookies","2672.8125000000000000","2480.7710843373493976","2413.8387096774193548"
"Bloom","Yogurt","2208.7500000000000000","2479.8295454545454545","2515.7647058823529412"
"Knuth","Butter","1257.5000000000000000","2368.5684210526315789","2226.3809523809523810"
"Knuth","Bread","2713.5000000000000000","2247.1573033707865169","2029.3589743589743590"
"Helen","Pepsi","2662.5384615384615385","2253.6262626262626263","2717.5853658536585366"
"Bloom","Fruits","2471.2352941176470588","2454.2278481012658228","2421.0869565217391304"
"Helen","Bread","2781.3333333333333333","2259.1262135922330097","2063.6904761904761905"
"Sam","Yogurt","2368.7777777777777778","2387.1084337349397590","2481.4242424242424242"
"Knuth","Eggs","2538.1000000000000000","2276.6813186813186813","2479.2564102564102564"
"Sam","Bread","1678.3750000000000000","2452.6428571428571429","2285.5813953488372093"
"Helen","Fruits","1840.1111111111111111","2341.3689320388349515","2533.7037037037037037"
"Bloom","Butter","3017.0000000000000000","2439.1827956989247312","2044.4888888888888889"
"Sam","Eggs","2372.1250000000000000","2386.5714285714285714","2514.5121951219512195"
"Emily","Coke","2409.0000000000000000","2522.0888888888888889","2550.3809523809523810"
"Bloom","Coke","2338.8888888888888889","2469.4827586206896552","2565.4047619047619048"
"Emily","Eggs","2756.6666666666666667","2478.0344827586206897","2405.1891891891891892"
"Sam","Coke","2270.8000000000000000","2391.8965517241379310","2553.1086956521739130"
"Sam","Soap","2201.3636363636363636","2410.2962962962962963","2248.9117647058823529"
"Sam","Milk","1814.5384615384615385","2479.2405063291139241","2329.2702702702702703"
"Bloom","Eggs","2504.8181818181818182","2451.0823529411764706","2487.3421052631578947"
"Knuth","Yogurt","2644.6250000000000000","2273.1397849462365591","2413.2058823529411765"
"Helen","Coke","2617.5333333333333333","2252.1546391752577320","2487.0555555555555556"
