"customer","product","quarter","before_tot","after_tot"
"Emily","Cookies","Q1","","1"
"Emily","Fruits","Q1","","2"
"Helen","Butter","Q1","","2"
"Helen","Coke","Q1","","3"
"Helen","Milk","Q1","","1"
"Helen","Pepsi","Q1","","1"
"Knuth","Bread","Q1","","1"
"Knuth","Butter","Q1","","2"
"Knuth","Coke","Q1","","4"
"Knuth","Fruits","Q1","","1"
"Sam","Eggs","Q1","","1"
"Sam","Soap","Q1","","2"
"Bloom","Milk","Q2","1",""
"Emily","Cookies","Q2","2",""
"Emily","Fruits","Q2","","1"
"Helen","Yogurt","Q2","","1"
"Sam","Eggs","Q2","1","1"
"Emily","Yogurt","Q2","1",""
"Helen","Fruits","Q2","2",""
"Bloom","Eggs","Q2","","1"
"Knuth","Bread","Q2","1","1"
"Bloom","Fruits","Q2","3","1"
"Bloom","Yogurt","Q2","1",""
"Helen","Coke","Q2","1",""
"Sam","Soap","Q2","2",""
"Sam","Yogurt","Q2","3","2"
"Emily","Eggs","Q2","","1"
"Bloom","Cookies","Q2","","2"
"Knuth","Fruits","Q2","1","2"
"Sam","Pepsi","Q2","1",""
"Knuth","Soap","Q2","2","1"
"Emily","Milk","Q2","","1"
"Emily","Bread","Q2","1","1"
"Helen","Pepsi","Q2","2",""
"Helen","Butter","Q2","3","1"
"Knuth","Pepsi","Q3","3","2"
"Helen","Yogurt","Q3","1","1"
"Bloom","Yogurt","Q3","1","1"
"Knuth","Coke","Q3","","1"
"Helen","Coke","Q3","1","1"
"Emily","Butter","Q3","1","1"
"Knuth","Cookies","Q3","3",""
"Emily","Cookies","Q3","","1"
"Emily","Eggs","Q3","","1"
"Helen","Cookies","Q3","","2"
"Emily","Soap","Q3","","1"
"Sam","Fruits","Q3","","3"
"Helen","Butter","Q3","1","4"
"Sam","Milk","Q3","","2"
"Bloom","Fruits","Q3","1","1"
"Emily","Bread","Q3","2",""
"Emily","Yogurt","Q3","1","1"
"Sam","Pepsi","Q3","2","1"
"Sam","Eggs","Q3","1",""
"Knuth","Fruits","Q3","1",""
"Helen","Soap","Q3","","1"
"Emily","Fruits","Q3","2","1"
"Bloom","Eggs","Q3","","1"
"Emily","Milk","Q3","1",""
"Helen","Coke","Q4","1",""
"Knuth","Fruits","Q4","1",""
"Bloom","Milk","Q4","1",""
"Helen","Butter","Q4","1",""
"Emily","Cookies","Q4","3",""
"Sam","Milk","Q4","1",""
"Emily","Fruits","Q4","1",""
"Knuth","Bread","Q4","1",""
"Bloom","Fruits","Q4","1",""
"Knuth","Pepsi","Q4","1",""
"Emily","Eggs","Q4","1",""
"Bloom","Cookies","Q4","2",""
"Sam","Fruits","Q4","1",""
"Knuth","Soap","Q4","1",""
